,PLAYER_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON_TYPE,PLAYER_NAME,FG2M,FG2A,FG2_PCT,SEASON,TEAM_ABBREVIATION,LOCAL_AWAY
52,203991,22000934,2021-04-28,ATL vs. PHI,L,24,4,13,0.308,0,0,0.0,1,4,0.25,6,2,8,0,0,2,2,1,9,-18,Regular,"Capela, Clint",4,13,0.308,2020-21,ATL,LOCAL
53,203991,22000916,2021-04-26,ATL vs. DET,L,28,6,16,0.375,0,0,0.0,0,0,0.0,5,10,15,2,0,1,1,1,12,-17,Regular,"Capela, Clint",6,16,0.375,2020-21,ATL,LOCAL
54,203991,22000913,2021-04-25,ATL vs. MIL,W,34,2,6,0.333,0,0,0.0,2,2,1.0,3,11,14,1,1,0,0,2,6,16,Regular,"Capela, Clint",2,6,0.333,2020-21,ATL,LOCAL
55,203991,22000886,2021-04-21,ATL vs. NYK,L,41,12,17,0.706,0,0,0.0,1,5,0.2,9,13,22,1,2,1,0,3,25,2,Regular,"Capela, Clint",12,17,0.706,2020-21,ATL,LOCAL
56,203991,22000876,2021-04-20,ATL vs. ORL,W,27,7,12,0.583,0,0,0.0,0,0,0.0,6,13,19,0,0,2,0,3,14,1,Regular,"Capela, Clint",7,12,0.583,2020-21,ATL,LOCAL
57,203991,22000861,2021-04-18,ATL vs. IND,W,36,10,17,0.588,0,0,0.0,5,9,0.556,8,16,24,0,2,3,1,1,25,25,Regular,"Capela, Clint",10,17,0.588,2020-21,ATL,LOCAL
58,203991,22000840,2021-04-15,ATL vs. MIL,L,37,7,10,0.7,0,0,0.0,2,4,0.5,6,10,16,0,1,2,1,3,16,5,Regular,"Capela, Clint",7,10,0.7,2020-21,ATL,LOCAL
59,203991,22000824,2021-04-13,ATL vs. TOR,W,35,7,11,0.636,0,0,0.0,5,8,0.625,5,16,21,1,0,1,1,0,19,3,Regular,"Capela, Clint",7,11,0.636,2020-21,ATL,LOCAL
60,203991,22000805,2021-04-11,ATL vs. CHA,W,35,8,12,0.667,0,0,0.0,4,6,0.667,3,12,15,3,0,0,2,3,20,14,Regular,"Capela, Clint",8,12,0.667,2020-21,ATL,AWAY
61,203991,22000791,2021-04-09,ATL vs. CHI,W,37,10,12,0.833,0,0,0.0,2,3,0.667,0,10,10,1,0,2,1,1,22,12,Regular,"Capela, Clint",10,12,0.833,2020-21,ATL,LOCAL
62,203991,22000770,2021-04-06,ATL vs. NOP,W,28,5,7,0.714,0,0,0.0,2,4,0.5,5,7,12,1,0,3,1,3,12,31,Regular,"Capela, Clint",5,7,0.714,2020-21,ATL,LOCAL
63,203991,22000759,2021-04-04,ATL vs. GSW,W,32,10,16,0.625,0,0,0.0,4,6,0.667,5,13,18,0,1,2,1,3,24,-3,Regular,"Capela, Clint",10,16,0.625,2020-21,ATL,LOCAL
64,203991,22000742,2021-04-02,ATL vs. NOP,W,29,5,8,0.625,0,0,0.0,4,6,0.667,2,8,10,0,2,6,2,2,14,20,Regular,"Capela, Clint",5,8,0.625,2020-21,ATL,AWAY
65,203991,22000735,2021-04-01,ATL vs. SAS,W,44,9,15,0.6,0,0,0.0,10,10,1.0,6,11,17,0,0,5,0,3,28,3,Regular,"Capela, Clint",9,15,0.6,2020-21,ATL,AWAY
66,203991,22000171,2021-03-30,ATL vs. PHX,L,35,8,12,0.667,0,0,0.0,0,0,0.0,1,15,16,0,0,1,0,3,16,5,Regular,"Capela, Clint",8,12,0.667,2020-21,ATL,AWAY
67,203991,22000705,2021-03-28,ATL vs. DEN,L,28,5,11,0.455,0,0,0.0,0,0,0.0,1,7,8,0,1,0,0,1,10,-22,Regular,"Capela, Clint",5,11,0.455,2020-21,ATL,LOCAL
68,203991,22000692,2021-03-26,ATL vs. GSW,W,30,8,10,0.8,0,0,0.0,2,4,0.5,3,12,15,0,2,3,1,4,18,17,Regular,"Capela, Clint",8,10,0.8,2020-21,ATL,AWAY
69,203991,22000677,2021-03-24,ATL vs. SAC,L,31,10,12,0.833,0,0,0.0,5,8,0.625,9,8,17,2,1,1,2,3,25,8,Regular,"Capela, Clint",10,12,0.833,2020-21,ATL,LOCAL
70,203991,22000660,2021-03-22,ATL vs. LAC,L,29,5,9,0.556,0,0,0.0,2,2,1.0,5,9,14,0,0,1,0,2,12,1,Regular,"Capela, Clint",5,9,0.556,2020-21,ATL,LOCAL
71,203991,22000640,2021-03-20,ATL vs. LAL,W,23,4,16,0.25,0,0,0.0,0,0,0.0,6,10,16,2,1,1,0,3,8,14,Regular,"Capela, Clint",4,16,0.25,2020-21,ATL,LOCAL
72,203991,22000626,2021-03-18,ATL vs. OKC,W,26,2,7,0.286,0,0,0.0,2,2,1.0,1,7,8,1,0,2,0,1,6,20,Regular,"Capela, Clint",2,7,0.286,2020-21,ATL,AWAY
73,203991,22000590,2021-03-13,ATL vs. SAC,W,27,10,12,0.833,0,0,0.0,4,10,0.4,6,8,14,1,0,2,1,2,24,0,Regular,"Capela, Clint",10,12,0.833,2020-21,ATL,AWAY
74,203991,22000570,2021-03-11,ATL vs. TOR,W,28,4,7,0.571,0,0,0.0,1,3,0.333,7,12,19,0,1,5,2,3,9,-23,Regular,"Capela, Clint",4,7,0.571,2020-21,ATL,AWAY
75,203991,22000538,2021-03-02,ATL vs. MIA,W,30,5,10,0.5,0,0,0.0,0,0,0.0,7,10,17,0,0,1,5,3,10,4,Regular,"Capela, Clint",5,10,0.5,2020-21,ATL,LOCAL
76,203991,22000522,2021-02-28,ATL vs. MIA,L,36,9,17,0.529,0,0,0.0,2,3,0.667,9,5,14,1,1,3,0,2,20,-1,Regular,"Capela, Clint",9,17,0.529,2020-21,ATL,LOCAL
77,203991,22000510,2021-02-26,ATL vs. OKC,L,31,8,11,0.727,0,0,0.0,1,4,0.25,9,12,21,0,1,4,1,3,17,7,Regular,"Capela, Clint",8,11,0.727,2020-21,ATL,LOCAL
78,203991,22000490,2021-02-24,ATL vs. BOS,W,21,3,6,0.5,0,0,0.0,3,4,0.75,2,7,9,1,0,3,1,2,9,12,Regular,"Capela, Clint",3,6,0.5,2020-21,ATL,LOCAL
79,203991,22000480,2021-02-23,ATL vs. CLE,L,37,6,13,0.462,0,0,0.0,0,2,0.0,7,9,16,1,1,1,0,2,12,17,Regular,"Capela, Clint",6,13,0.462,2020-21,ATL,LOCAL
80,203991,22000470,2021-02-21,ATL vs. DEN,W,32,8,9,0.889,0,0,0.0,6,8,0.75,2,8,10,1,0,1,2,3,22,5,Regular,"Capela, Clint",8,9,0.889,2020-21,ATL,AWAY
